Unnamed: 0,zipcode,household median,percent of household,family median,percent family,non-family median,percent non-family,weighted median,city,city rank,rank
899,17086,74107,33.4,76912,31.9,30313,37.7,60714.667,Richfield,1.0,738.0
900,17087,79097,43.7,85313,47.6,39167,30.9,87276.98,Richland,1.0,192.0
901,17088,85402,16.5,86920,16.3,43712,17.3,35821.466,Schaefferstown,1.0,1482.0
902,17090,68750,31.7,84779,30.4,43221,34.4,62434.59,Shermans Dale,1.0,684.0
903,17093,62438,63.4,66536,43.3,61561,84.5,120414.825,Summerdale,1.0,44.0
904,17094,47738,29.8,63092,29.5,25815,30.7,40763.269,Thompsontown,1.0,1389.0
905,17097,46250,44.6,57917,47.7,25357,31.1,56139.935999999994,Wiconisco Township,1.0,892.0
906,17098,51724,46.5,57895,45.7,31923,44.4,64683.487,Williamstown,1.0,621.0
907,17099,55871,56.8,56167,74.8,51339,0.0,73747.644,Yeagertown,1.0,393.0
908,17101,45920,33.1,0,0.0,45401,35.1,31135.271,Harrisburg,9.0,1545.0
909,17102,45110,40.6,66691,43.6,38284,38.8,62246.128,Harrisburg,8.0,690.0
910,17103,36667,66.9,42260,70.2,30494,62.3,73194.505,Harrisburg,3.0,402.0
911,17104,39181,60.2,37858,64.7,34685,49.2,65146.108,Harrisburg,7.0,606.0
912,17109,56149,43.7,68855,42.0,39216,45.9,71456.357,Harrisburg,5.0,444.0
913,17110,68675,40.8,90450,39.2,41611,40.9,80494.69900000001,Harrisburg,1.0,275.0
914,17111,72275,35.0,89188,39.0,44512,27.7,72409.394,Harrisburg,4.0,417.0
915,17112,86463,32.0,103057,32.3,51717,31.3,77142.992,Harrisburg,2.0,327.0
916,17113,53947,46.6,62674,52.1,35307,31.5,68914.161,Harrisburg,6.0,508.0
917,17201,51467,27.6,59118,26.5,38290,28.1,40630.652,Chambersburg,2.0,1395.0
918,17202,81302,29.1,93832,28.4,40806,25.5,60712.7,Chambersburg,1.0,739.0
919,17210,42857,0.0,0,0.0,21908,0.0,0.0,Amberson,1.0,1684.0
920,17211,46607,52.0,65625,66.1,17333,28.1,72484.338,Artemas,1.0,416.0
921,17212,78438,32.5,80917,26.2,37500,53.6,66792.604,Big Cove Tannery,1.0,562.0
922,17213,64671,37.6,65536,36.5,22125,42.2,57573.685999999994,Blairs Mills,1.0,834.0
923,17214,38864,34.0,0,40.1,28118,20.7,19034.186,Blue Ridge Summit,1.0,1632.0
924,17215,57222,34.1,97917,29.2,35313,47.8,64984.08,Burnt Cabins,1.0,611.0
925,17217,59583,32.8,68667,43.8,0,0.0,49619.37,Concord,1.0,1132.0
926,17219,47679,28.4,54757,52.4,0,0.0,42233.504,Doylesburg,1.0,1348.0
927,17220,39063,35.7,53950,40.5,15000,18.8,38615.241,Dry Run,1.0,1437.0
928,17221,46000,41.8,65078,34.6,34688,53.6,60337.755999999994,Fannettsburg,1.0,750.0
929,17222,66146,21.3,75324,24.1,32033,15.9,37335.429,Fayetteville,1.0,1458.0
930,17223,43472,14.3,43056,15.0,45417,12.1,18170.353,Fort Littleton,1.0,1634.0
931,17224,97774,22.6,98281,19.1,0,33.5,40868.595,Fort Loudon,1.0,1387.0
932,17225,73877,29.4,81517,29.4,46331,29.4,59307.15,Greencastle,1.0,774.0
933,17228,67679,34.8,74583,35.3,50288,33.3,66625.995,Harrisonville,1.0,569.0
