city,zip,no_of_competitors,rank_in_city,overall_rank
PHILADELPHIA,19102.0,1,1.0,1.0
PHILADELPHIA,19103.0,2,2.0,2.0
PHILADELPHIA,19104.0,3,3.0,3.0
PHILADELPHIA,19106.0,2,2.0,2.0
PHILADELPHIA,19107.0,2,2.0,2.0
PHILADELPHIA,19111.0,2,2.0,2.0
PHILADELPHIA,19114.0,1,1.0,1.0
PHILADELPHIA,19115.0,1,1.0,1.0
PHILADELPHIA,19116.0,3,3.0,3.0
PHILADELPHIA,19118.0,1,1.0,1.0
PHILADELPHIA,19119.0,1,1.0,1.0
PHILADELPHIA,19120.0,2,2.0,2.0
PHILADELPHIA,19122.0,1,1.0,1.0
PHILADELPHIA,19123.0,2,2.0,2.0
PHILADELPHIA,19124.0,1,1.0,1.0
PHILADELPHIA,19125.0,1,1.0,1.0
PHILADELPHIA,19126.0,1,1.0,1.0
PHILADELPHIA,19127.0,1,1.0,1.0
PHILADELPHIA,19128.0,3,3.0,3.0
PHILADELPHIA,19130.0,4,4.0,4.0
PHILADELPHIA,19131.0,1,1.0,1.0
PHILADELPHIA,19134.0,1,1.0,1.0
PHILADELPHIA,19136.0,1,1.0,1.0
PHILADELPHIA,19138.0,1,1.0,1.0
PHILADELPHIA,19139.0,1,1.0,1.0
PHILADELPHIA,19142.0,1,1.0,1.0
PHILADELPHIA,19145.0,2,2.0,2.0
PHILADELPHIA,19146.0,2,2.0,2.0
PHILADELPHIA,19147.0,3,3.0,3.0
PHILADELPHIA,19148.0,1,1.0,1.0
PHILADELPHIA,19149.0,1,1.0,1.0
PHILADELPHIA,19150.0,1,1.0,1.0
PHILADELPHIA,19151.0,1,1.0,1.0
PHILADELPHIA,19152.0,2,2.0,2.0
PHILADELPHIA,19154.0,1,1.0,1.0
PHILIPSBURG,16866.0,1,1.0,1.0
PHOENIXVILLE,19460.0,2,1.0,2.0
PIPERSVILLE,18947.0,1,1.0,1.0
PITTSBURGH,15201.0,1,1.0,1.0
PITTSBURGH,15202.0,1,1.0,1.0
PITTSBURGH,15203.0,2,2.0,2.0
PITTSBURGH,15205.0,3,3.0,3.0
PITTSBURGH,15206.0,3,3.0,3.0
PITTSBURGH,15207.0,1,1.0,1.0
PITTSBURGH,15210.0,3,3.0,3.0
PITTSBURGH,15211.0,1,1.0,1.0
PITTSBURGH,15212.0,2,2.0,2.0
PITTSBURGH,15213.0,4,4.0,4.0
PITTSBURGH,15216.0,3,3.0,3.0
PITTSBURGH,15217.0,3,3.0,3.0
PITTSBURGH,15219.0,1,1.0,1.0
PITTSBURGH,15221.0,1,1.0,1.0
PITTSBURGH,15222.0,3,3.0,3.0
PITTSBURGH,15223.0,2,2.0,2.0
